order_id,product_name,quantity,unit_price_inr,Detection Method,Reason
ORD00259,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00260,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00261,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00268,Bluetooth Speaker,5,1499,Isolation Forest,Unusual combination of price and quantity
ORD00272,Running Shoes,5,2499,Isolation Forest,Unusual combination of price and quantity
ORD00279,,0,799,Isolation Forest,Unusual combination of price and quantity
ORD00284,Bluetooth Speaker,5,1499,Isolation Forest,Unusual combination of price and quantity
ORD00303,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00309,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00315,Desk Organizer,75,599,Isolation Forest,Unusual combination of price and quantity
ORD00327,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00328,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00333,Bluetooth Speaker,3,-499,Isolation Forest,Unusual combination of price and quantity
ORD00340,Running Shoes,5,2499,Isolation Forest,Unusual combination of price and quantity
ORD00349,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00351,Bluetooth Speaker,4,999999,Isolation Forest,Unusual combination of price and quantity
ORD00355,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00358,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00372,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00384,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00385,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00386,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00387,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00392,Cotton Kurta,0,1199,Isolation Forest,Unusual combination of price and quantity
ORD00394,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00401,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00409,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00411,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00413,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00416,Bluetooth Speaker,5,1499,Isolation Forest,Unusual combination of price and quantity
ORD00428,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00431,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00434,Running Shoes,5,2499,Isolation Forest,Unusual combination of price and quantity
ORD00436,Bluetooth Speaker,5,1499,Isolation Forest,Unusual combination of price and quantity
ORD00440,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00442,Face Serum,75,699,Isolation Forest,Unusual combination of price and quantity
ORD00444,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00446,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00459,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00464,Cotton Kurta,3,-499,Isolation Forest,Unusual combination of price and quantity
ORD00472,Bluetooth Speaker,5,1499,Isolation Forest,Unusual combination of price and quantity
ORD00481,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00486,Bluetooth Speaker,5,1499,Isolation Forest,Unusual combination of price and quantity
ORD00488,Notebook Pack,4,999999,Isolation Forest,Unusual combination of price and quantity
ORD00499,Running Shoes,5,2499,Isolation Forest,Unusual combination of price and quantity
ORD00499,Running Shoes,5,2499,Isolation Forest,Unusual combination of price and quantity
ORD00503,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00505,Bedsheet Set,0,999,Isolation Forest,Unusual combination of price and quantity
ORD00512,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00517,Running Shoes,5,2499,Isolation Forest,Unusual combination of price and quantity
ORD00526,Running Shoes,5,2499,Isolation Forest,Unusual combination of price and quantity
ORD00529,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00542,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00563,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00568,Running Shoes,5,2499,Isolation Forest,Unusual combination of price and quantity
ORD00569,Wireless Mouse,75,799,Isolation Forest,Unusual combination of price and quantity
ORD00577,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00583,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00595,Bedsheet Set,5,-499,Isolation Forest,Unusual combination of price and quantity
ORD00613,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00618,Desk Organizer,0,599,Isolation Forest,Unusual combination of price and quantity
ORD00619,Bluetooth Speaker,5,1499,Isolation Forest,Unusual combination of price and quantity
ORD00625,Water Bottle,2,999999,Isolation Forest,Unusual combination of price and quantity
ORD00630,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00634,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00652,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00661,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00664,Running Shoes,5,2499,Isolation Forest,Unusual combination of price and quantity
ORD00666,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00677,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00681,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00683,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00690,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00694,,5,2499,Isolation Forest,Unusual combination of price and quantity
ORD00696,Bluetooth Speaker,75,1499,Isolation Forest,Unusual combination of price and quantity
ORD00701,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00711,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00726,Running Shoes,1,-499,Isolation Forest,Unusual combination of price and quantity
ORD00730,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00731,Wireless Mouse,0,799,Isolation Forest,Unusual combination of price and quantity
ORD00732,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00736,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00740,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00754,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00760,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00761,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00762,Bluetooth Speaker,4,999999,Isolation Forest,Unusual combination of price and quantity
ORD00766,Running Shoes,5,2499,Isolation Forest,Unusual combination of price and quantity
ORD00772,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00782,Bluetooth Speaker,5,1499,Isolation Forest,Unusual combination of price and quantity
ORD00787,Running Shoes,5,2499,Isolation Forest,Unusual combination of price and quantity
ORD00810,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00812,Running Shoes,5,2499,Isolation Forest,Unusual combination of price and quantity
ORD00818,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00820,Running Shoes,5,2499,Isolation Forest,Unusual combination of price and quantity
ORD00823,Running Shoes,75,2499,Isolation Forest,Unusual combination of price and quantity
ORD00836,Bluetooth Speaker,5,1499,Isolation Forest,Unusual combination of price and quantity
ORD00844,Desk Organizer,0,599,Isolation Forest,Unusual combination of price and quantity
ORD00851,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00852,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00857,Desk Organizer,4,-499,Isolation Forest,Unusual combination of price and quantity
ORD00864,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00866,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00871,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00874,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00878,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00884,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00891,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00892,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00899,Shampoo,3,999999,Isolation Forest,Unusual combination of price and quantity
ORD00899,Shampoo,3,999999,Isolation Forest,Unusual combination of price and quantity
ORD00902,Bluetooth Speaker,5,1499,Isolation Forest,Unusual combination of price and quantity
ORD00905,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00925,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00940,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00950,Cotton Kurta,75,1199,Isolation Forest,Unusual combination of price and quantity
ORD00957,Desk Organizer,0,599,Isolation Forest,Unusual combination of price and quantity
ORD00966,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00972,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00976,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00988,Running Shoes,1,-499,Isolation Forest,Unusual combination of price and quantity
ORD00989,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00993,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00998,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00999,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00999,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
